label,level_1,level_2,level_3,level_4
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/delftx-climate-neutral-world-theory-applications-and-taking-action,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/delftx-data-skills-for-artificial-intelligence,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/delftx-electric-cars,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/delftx-housing-design-for-all,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/delftx-inclusive-and-sustainable-cities,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/delftx-industrial-biotechnology-and-industrial-fermentation,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/delftx-intelligent-and-integrated-energy-systems,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/delftx-management-and-financing-of-engineering-projects,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/delftx-management-of-engineering-projects-dealing-with-complexity,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/delftx-mastering-calculus,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/delftx-mastering-linear-algebra,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/delftx-mastering-probability-and-statistics,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/delftx-navigating-ai-and-online-platform-regulations-eu-ai-act-and-dsa,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/delftx-pre-university-calculus-and-physics,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/delftx-quantum-201-quantum-computing-and-quantum-internet,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/delftx-quantum-301-quantum-computing-with-semiconductor-technology,
